,Close
2020-09-24,24.57
2020-09-25,24.68
2020-09-26,26.2
2020-09-27,26.25
2020-09-28,26.98
2020-09-29,28.83
2020-09-30,29.34
2020-10-01,27.46
2020-10-02,27.33
2020-10-03,28.24
2020-10-04,29.03
2020-10-05,28.61
2020-10-06,27.71
2020-10-07,27.71
2020-10-08,27.71
2020-10-09,28.4
2020-10-10,28.41
2020-10-11,28.54
2020-10-12,30.72
2020-10-13,30.73
2020-10-14,30.87
2020-10-15,31.37
2020-10-16,30.0
2020-10-17,30.25
2020-10-18,30.68
2020-10-19,29.92
2020-10-20,28.84
2020-10-21,29.79
2020-10-22,30.71
2020-10-23,30.65
2020-10-24,30.66
2020-10-25,30.16
2020-10-26,31.08
2020-10-27,31.54
2020-10-28,30.37
2020-10-29,29.87
2020-10-30,28.52
2020-10-31,28.52
2020-11-01,28.51
2020-11-02,27.85
2020-11-03,26.9
2020-11-04,26.98
2020-11-05,27.72
2020-11-06,29.05
2020-11-07,27.78
2020-11-08,28.42
2020-11-09,28.11
2020-11-10,28.22
2020-11-11,28.02
2020-11-12,27.75
2020-11-13,28.22
2020-11-14,27.92
2020-11-15,27.68
2020-11-16,27.99
2020-11-17,28.63
2020-11-18,28.1
2020-11-19,28.16
2020-11-20,28.96
2020-11-21,30.53
2020-11-22,30.02
2020-11-23,31.0
2020-11-24,33.87
2020-11-25,31.29
2020-11-26,28.25
2020-11-27,28.49
2020-11-28,29.18
2020-11-29,30.12
2020-11-30,31.48
2020-12-01,30.16
2020-12-02,30.3
2020-12-03,30.73
2020-12-04,29.02
2020-12-05,29.75
2020-12-06,29.51
2020-12-07,29.39
2020-12-08,27.67
2020-12-09,28.16
2020-12-10,27.67
2020-12-11,27.34
2020-12-12,28.17
2020-12-13,29.12
2020-12-14,30.03
2020-12-15,29.53
2020-12-16,30.55
2020-12-17,30.24
2020-12-18,30.96
2020-12-19,33.31
2020-12-20,34.26
2020-12-21,32.18
2020-12-22,33.54
2020-12-23,31.19
2020-12-24,32.5
2020-12-25,33.18
2020-12-26,33.56
2020-12-27,33.6
2020-12-28,35.88
2020-12-29,39.04
2020-12-30,38.13
2020-12-31,37.4
2021-01-01,37.76
2021-01-02,38.29
2021-01-03,41.36
2021-01-04,41.1
2021-01-05,41.9
2021-01-06,42.27
2021-01-07,43.62
2021-01-08,42.38
2021-01-09,43.94
2021-01-10,42.44
2021-01-11,38.16
2021-01-12,38.25
2021-01-13,40.15
2021-01-14,41.86
2021-01-15,40.87
2021-01-16,43.09
2021-01-17,45.91
2021-01-18,45.34
2021-01-19,42.51
2021-01-20,42.6
2021-01-21,38.67
2021-01-22,40.9
2021-01-23,40.9
2021-01-24,41.87
2021-01-25,41.76
2021-01-26,41.78
2021-01-27,41.01
2021-01-28,42.61
2021-01-29,42.88
2021-01-30,44.82
2021-01-31,44.38
2021-02-01,51.48
2021-02-02,51.08
2021-02-03,52.22
2021-02-04,56.03
2021-02-05,67.62
2021-02-06,72.92
2021-02-07,68.45
2021-02-08,79.92
2021-02-09,107.67
2021-02-10,128.96
2021-02-11,124.05
2021-02-12,136.9
2021-02-13,133.4
2021-02-14,136.08
2021-02-15,129.86
2021-02-16,130.09
2021-02-17,165.54
2021-02-18,195.58
2021-02-19,333.36
2021-02-20,254.4
2021-02-21,294.76
2021-02-22,267.36
2021-02-23,231.78
2021-02-24,254.46
2021-02-25,234.57
2021-02-26,221.71
2021-02-27,225.74
2021-02-28,210.55
2021-03-01,254.93
2021-03-02,239.98
2021-03-03,240.78
2021-03-04,229.68
2021-03-05,225.63
2021-03-06,226.42
2021-03-07,239.94
2021-03-08,240.7
2021-03-09,293.65
2021-03-10,278.68
2021-03-11,290.15
2021-03-12,263.21
2021-03-13,276.04
2021-03-14,263.31
2021-03-15,254.61
2021-03-16,258.5
2021-03-17,269.92
2021-03-18,261.01
2021-03-19,263.13
2021-03-20,264.48
2021-03-21,264.67
2021-03-22,254.95
2021-03-23,255.25
2021-03-24,248.44
2021-03-25,234.14
2021-03-26,255.18
2021-03-27,269.37
2021-03-28,268.7
2021-03-29,275.16
2021-03-30,311.54
2021-03-31,302.49
2021-04-01,334.24
2021-04-02,338.41
